ITEM,ID,EDP,Component,Group,Quantity,Damage States,"DS1, Median Demand","DS2, Median Demand","DS3, Median Demand","DS4, Median Demand","DS5, Median Demand","DS1, Total Dispersion (Beta)","DS2, Total Dispersion (Beta)","DS3, Total Dispersion (Beta)","DS4, Total Dispersion (Beta)","DS5, Total Dispersion (Beta)","DS1, Repair COST","DS2, Repair COST","DS3, Repair COST","DS4, Repair COST","DS5, Repair COST","DS1, COST Dispersion (Beta)","DS2, COST Dispersion (Beta)","DS3, COST Dispersion (Beta)","DS4, COST Dispersion (Beta)","DS5, COST Dispersion (Beta)","DS1, best fit","DS2, best fit","DS3, best fit","DS4, best fit","DS5, best fit"
1,Roofing,PFA,NS,2,0.0,2,0.4,0.5,,,,0.3,0.3,,,,132.93864370290638,383.2077502691066,,,,0.5149,0.4691,,,,,,,,
2,Ceilings - Lay in Tile,PFA,NS,2,0.8022957153935935,3,0.86,1.3275,1.5625,,,0.25,0.25,0.25,,,18.693674899866487,165.0200267022697,466.0526535380508,,,0.5508,0.5183,0.2026,,,,,,,
3,Ceilings - Gypsum board,PFA,NS,2,0.040450485064755085,3,0.86,1.3275,1.5625,,,0.25,0.25,0.25,,,18.693674899866487,165.0200267022697,466.0526535380508,,,0.5508,0.5183,0.2026,,,,,,,
4,Ceilings - Other,PFA,NS,2,0.025326367693786322,3,0.86,1.3275,1.5625,,,0.25,0.25,0.25,,,18.693674899866487,165.0200267022697,466.0526535380508,,,0.5508,0.5183,0.2026,,,,,,,
5,Ceilings - Other (high end),PFA,NS,2,0.019752525887005375,3,0.86,1.3275,1.5625,,,0.25,0.25,0.25,,,18.693674899866487,165.0200267022697,466.0526535380508,,,0.5508,0.5183,0.2026,,,,,,,
6,Storage Racks,PFA,NS,2,0.1888249877727505,2,0.42,0.42,,,,0.4,0.4,,,,15.647082576216434,94.134867756915,,,,0.3622,0.2881,,,,,,,,
7,Elevators,PFA,NS,2,0.000255162331430488,4,0.39,0.39,0.39,0.39,,0.45,0.45,0.45,0.45,,1760.0,9240.0,15640.0,16640.0,,0.8741,0.2776,0.4083,0.4877,,,,,,
8,Piping - Cold Domestic Water Piping - 2 ½ inch diameter or smaller,PFA,NS,2,0.12133049786367045,2,1.5,2.6,,,,0.4,0.4,,,,1.0465879265091864,10.61023622047244,,,,0.7637,0.4054,,,,,,,,
9,Piping - Cold Domestic Water Piping – greater than 2 ½ diameter,PFA,NS,2,0.03966170917838103,2,1.5,2.6,,,,0.4,0.4,,,,0.45931758530183725,4.8556430446194225,,,,0.6488,0.4038,,,,,,,,
10,Piping - Hot Domestic Water Piping - 2 ½ inch diameter or smaller,PFA,NS,2,0.2386150988272539,2,1.5,2.6,,,,0.4,0.4,,,,1.0465879265091864,10.61023622047244,,,,0.7637,0.4054,,,,,,,,
11,Piping - Hot Domestic Waster Piping – greater than 2 ½ diameter,PFA,NS,2,0.08070955418952476,2,1.5,2.6,,,,0.4,0.4,,,,0.45931758530183725,4.8556430446194225,,,,0.6488,0.4038,,,,,,,,
12,Piping - Sanitary Waste Piping,PFA,NS,2,0.1644952635733635,1,2.25,,,,,0.5,,,,,4.396325459317585,4.396325459317585,,,,0.3142,,,,,,,,,
13,Piping - Process Piping - 2 ½ inch diameter or smaller,PFA,NS,2,0.0,1,2.25,,,,,0.5,,,,,4.396325459317585,4.396325459317585,,,,0.3142,,,,,,,,,
14,Piping - Process Piping – greater than 2 ½ diameter,PFA,NS,2,0.0,1,2.25,,,,,0.5,,,,,4.396325459317585,4.396325459317585,,,,0.3142,,,,,,,,,
15,Piping - Acid Waste Piping,PFA,NS,2,0.0,1,2.25,,,,,0.5,,,,,4.396325459317585,4.396325459317585,,,,0.3142,,,,,,,,,
16,HVAC - Chiller capacity,PFA,NS,2,0.01764808024465246,1,0.2,,,,,0.4,,,,,50820.0,50820.0,,,,0.1785,,,,,,,,,
17,HVAC - Cooling Tower capacity,PFA,NS,2,0.016645250116115083,1,0.5,,,,,0.4,,,,,26070.0,26070.0,,,,0.172,,,,,,,,,
18,HVAC - Air Handling Units,PFA,NS,2,0.1026219842958288,2,0.25,0.25,,,,0.4,0.4,,,,1100.0,32120.0,,,,0.1511,0.1655,,,,,,,,
19,HVAC - Fans,PFA,NS,2,0.0,1,0.5,,,,,0.4,,,,,2915.0,2915.0,,,,0.1394,,,,,,,,,
20,HVAC - HVAC Ducts – 6 sq. feet for larger,PFA,NS,2,0.03937000778975743,2,1.5,2.25,,,,0.4,0.4,,,,3.4284776902887137,32.11942257217848,,,,0.256,0.0806,,,,,,,,
21,HVAC - HVAC Ducts – less than 6 sq. feet,PFA,NS,2,0.14265926585125294,2,1.5,2.25,,,,0.4,0.4,,,,2.345800524934383,25.262467191601047,,,,0.3674,0.1002,,,,,,,,
22,HVAC - HVAC in-line Drops & Diffusers,PFA,NS,2,0.05703781410245333,1,1.3,,,,,0.4,,,,,330.0,330.0,,,,0.2066,,,,,,,,,
23,HVAC - HVAC in-line Coils,PFA,NS,2,0.026159947017146853,1,1.9,,,,,0.4,,,,,1650.0,1650.0,,,,0.2942,,,,,,,,,
24,HVAC - VAV Boxes,PFA,NS,2,0.011311903652792875,1,1.9,,,,,0.4,,,,,1650.0,1650.0,,,,0.2942,,,,,,,,,
25,HVAC - Fan Coil Unis,PFA,NS,2,0.0,1,1.9,,,,,0.4,,,,,1650.0,1650.0,,,,0.2942,,,,,,,,,
26,Piping - Steam & Chilled Water Piping - 2 ½ inch diameter or smaller,PFA,NS,2,0.0,2,0.55,1.1,,,,0.5,0.5,,,,0.20931758530183725,2.122047244094488,,,,0.7637,0.4054,,,,,,,,
27,Piping - Steam & Chilled Water Piping – greater than 2 ½ diameter,PFA,NS,2,0.0,2,1.5,2.6,,,,0.5,0.5,,,,0.45931758530183725,4.8556430446194225,,,,0.6488,0.4038,,,,,,,,
28,Piping - Heating Water Piping - 2 ½ inch diameter or smaller,PFA,NS,2,0.014485557670316262,2,0.55,1.1,,,,0.5,0.5,,,,1.0465879265091864,10.61023622047244,,,,0.7637,0.4054,,,,,,,,
29,Piping - Heating Water Piping – greater than 2 ½ diameter,PFA,NS,2,0.016120252967465918,2,1.5,2.6,,,,0.5,0.5,,,,0.45931758530183725,4.8556430446194225,,,,0.6488,0.4038,,,,,,,,
30,Electrical - Motor Control Centers,PFA,NS,2,0.0003957760587848759,1,0.73,,,,,0.45,,,,,4565.0,4565.0,,,,0.1826,,,,,,,,,
31,Electrical - Transformers < 100kVA,PFA,NS,2,0.0010734716663176227,1,1.01,,,,,0.6,,,,,8332.5,8332.5,,,,0.1875,,,,,,,,,
32,Electrical - Distribution Panel,PFA,NS,2,0.00035281068580408383,1,2.16,,,,,0.45,,,,,12057.5,12057.5,,,,0.1572,,,,,,,,,
33,Electrical - Wall mounted switchgear,PFA,NS,2,0.003027035649260105,1,1.28,,,,,0.4,,,,,10202.5,10202.5,,,,0.1572,,,,,,,,,
34,Electrical - Lighting Fixtures – Lay in fluorescent,PFA,NS,2,0.15544131242527187,1,0.6,,,,,0.4,,,,,0.45999999999999996,0.45999999999999996,,,,0.6369,,,,,,,,,
35,Electrical - Lighting Fixtures – Stem hung fluorescent,PFA,NS,2,0.13087454441408813,1,0.6,,,,,0.4,,,,,0.45999999999999996,0.45999999999999996,,,,0.6369,,,,,,,,,
